,D0_n,D0_l,D0_p,iPSCs_n,iPSCs_l,iPSCs_p
10929,Psen2,,0.005490389663708541,Psen2,,0.005490389663708541
10930,1700104B16Rik,,0.0055186349271096405,1700104B16Rik,,0.0055186349271096405
10931,Hes7,,0.0055115706655854855,Hes7,,0.0055115706655854855
10932,Acad10,,0.005509064449230368,Acad10,,0.005509064449230368
10933,B3gat2,,0.0055186349271096405,B3gat2,,0.0055186349271096405
10934,Bub3,,0.005509064449230368,Bub3,,0.005509064449230368
10935,Akap7,,0.005517545630597421,Akap7,,0.005517545630597421
10936,Spag5,,0.005565304845866145,Spag5,,0.005565304845866145
10937,Wdr46,,0.005570608023639741,Wdr46,,0.005570608023639741
10938,Nup98,,0.005581298454709616,Nup98,,0.005581298454709616
10939,Slc11a2,,0.005581639458534312,Slc11a2,,0.005581639458534312
10940,Ttc41,,0.00558933535908047,Ttc41,,0.00558933535908047
10941,D130017N08Rik,,0.005598469588360995,D130017N08Rik,,0.005598469588360995
10942,Fnbp1l,,0.00559834703077123,Fnbp1l,,0.00559834703077123
10943,Ncbp1,,0.005607771754417627,Ncbp1,,0.005607771754417627
10944,Lmo2,,0.0056367083440982905,Lmo2,,0.0056367083440982905
10945,Cabin1,,0.0056216114129198904,Cabin1,,0.0056216114129198904
10946,Foxq1,,0.005635931250026835,Foxq1,,0.005635931250026835
10947,Greb1l,,0.005653886098434003,Greb1l,,0.005653886098434003
10948,Pcdhgb2,,0.005661030389161409,Pcdhgb2,,0.005661030389161409
10949,BC024978,,0.005663766731630845,BC024978,,0.005663766731630845
10950,Vgll1,,0.005738408552884051,Vgll1,,0.005738408552884051
10951,RP23-74K24.8,,0.005732628732533452,RP23-74K24.8,,0.005732628732533452
10952,Efs,,0.0057188840765804915,Efs,,0.0057188840765804915
10953,Bcl2l1,,0.0057521681358589085,Bcl2l1,,0.0057521681358589085
10954,Ebi3,,0.005776570888641921,Ebi3,,0.005776570888641921
10955,RP23-238I17.9,,0.005784819594801368,RP23-238I17.9,,0.005784819594801368
10956,Jsrp1,,0.005766498819950825,Jsrp1,,0.005766498819950825
10957,1700001L19Rik,,0.00577483866626303,1700001L19Rik,,0.00577483866626303
10958,Sfswap,,0.005771703048483907,Sfswap,,0.005771703048483907
10959,Npas3,,0.00577328815954826,Npas3,,0.00577328815954826
10960,Glb1l2,,0.0057959341493144766,Glb1l2,,0.0057959341493144766
10961,4931414P19Rik,,0.005792442843369549,4931414P19Rik,,0.005792442843369549
10962,Gm10399,,0.00580555825255229,Gm10399,,0.00580555825255229
10963,Tk2,,0.005810915214650933,Tk2,,0.005810915214650933
10964,Gnrh1,,0.005840933980531214,Gnrh1,,0.005840933980531214
10965,Fam193b,,0.005836095892502099,Fam193b,,0.005836095892502099
10966,Bud13,,0.00586391257126819,Bud13,,0.00586391257126819
10967,Dnajc18,,0.005865415545743491,Dnajc18,,0.005865415545743491
10968,BC021785,,0.00589435824551629,BC021785,,0.00589435824551629
10969,Zfp574,,0.005887651548869298,Zfp574,,0.005887651548869298
10970,Hoxd9,,0.005919012797700208,Hoxd9,,0.005919012797700208
10971,1110017D15Rik,,0.005932564843332348,1110017D15Rik,,0.005932564843332348
10972,Gm16755,,0.005941749767959115,Gm16755,,0.005941749767959115
10973,Dgat2,,0.005938118982283345,Dgat2,,0.005938118982283345
10974,Ergic3,,0.005941749767959115,Ergic3,,0.005941749767959115
10975,Wdr43,,0.005948227805321727,Wdr43,,0.005948227805321727
10976,N4bp2l1,,0.005963582541751798,N4bp2l1,,0.005963582541751798
10977,Stam2,,0.0059568420430825605,Stam2,,0.0059568420430825605
10978,3110062M04Rik,,0.005975584691596119,3110062M04Rik,,0.005975584691596119
10979,Rnls,,0.005988754235579092,Rnls,,0.005988754235579092
10980,Sh3rf3,,0.00599066569653645,Sh3rf3,,0.00599066569653645
10981,Gm17296,,0.005996969466275859,Gm17296,,0.005996969466275859
10982,Poc1b,,0.005997418896209687,Poc1b,,0.005997418896209687
10983,Smc2os,,0.006017920242133863,Smc2os,,0.006017920242133863
10984,Cfb,,0.006032134147202382,Cfb,,0.006032134147202382
10985,Gm12996,,0.00603565863748222,Gm12996,,0.00603565863748222
10986,Pde12,,0.006022465921842354,Pde12,,0.006022465921842354
10987,Zfp942,,0.006061364418832078,Zfp942,,0.006061364418832078
10988,Zfp11,,0.0060778053112236,Zfp11,,0.0060778053112236
10989,Nxt2,,0.006097368641280692,Nxt2,,0.006097368641280692
10990,Gm43653,,0.006107700488027212,Gm43653,,0.006107700488027212
10991,Chst13,,0.006144282687594459,Chst13,,0.006144282687594459
10992,2010315B03Rik,,0.0061619415597784525,2010315B03Rik,,0.0061619415597784525
10993,Kif22,,0.006174096399600846,Kif22,,0.006174096399600846
10994,Cyyr1,,0.006186643645980714,Cyyr1,,0.006186643645980714
10995,Tg,,0.006222641020389765,Tg,,0.006222641020389765
10996,Adcyap1r1,,0.0062437307641194355,Adcyap1r1,,0.0062437307641194355
10997,Pcdhb19,,0.006259401054318233,Pcdhb19,,0.006259401054318233
10998,Med18,,0.006263051062033478,Med18,,0.006263051062033478
10999,Igsf11,,0.006293137675737257,Igsf11,,0.006293137675737257
11000,Rprm,,0.006295529872770312,Rprm,,0.006295529872770312
11001,Ankle2,,0.0062933039265834125,Ankle2,,0.0062933039265834125
11002,Casp4,,0.006302104184893064,Casp4,,0.006302104184893064
11003,Pus10,,0.006303711173969859,Pus10,,0.006303711173969859
11004,Kctd2,,0.006326025083100022,Kctd2,,0.006326025083100022
11005,Ntn1,,0.006335637472303944,Ntn1,,0.006335637472303944
11006,Gpr50,,0.00637295485232976,Gpr50,,0.00637295485232976
11007,Slc47a1,,0.0063705905330338685,Slc47a1,,0.0063705905330338685
11008,Ern1,,0.006390387674987181,Ern1,,0.006390387674987181
11009,Tmc3,,0.0064280378842391395,Tmc3,,0.0064280378842391395
11010,Rnase10,,0.0064421353033393795,Rnase10,,0.0064421353033393795
11011,Tle3,,0.0065210089868703094,Tle3,,0.0065210089868703094
11012,Rmdn1,,0.00652193958024068,Rmdn1,,0.00652193958024068
11013,Zfp692,,0.006525748878336792,Zfp692,,0.006525748878336792
11014,Taf2,,0.006546583935619274,Taf2,,0.006546583935619274
11015,Mtx3,,0.0065524882348856365,Mtx3,,0.0065524882348856365
11016,Gm16062,,0.006555922356171557,Gm16062,,0.006555922356171557
11017,Tbc1d17,,0.006567490721784333,Tbc1d17,,0.006567490721784333
11018,Edrf1,,0.006584521459303253,Edrf1,,0.006584521459303253
11019,Agpat5,,0.006591042410459715,Agpat5,,0.006591042410459715
11020,Zfp41,,0.006646054543275726,Zfp41,,0.006646054543275726
11021,Kbtbd3,,0.006684023932256969,Kbtbd3,,0.006684023932256969
11022,Psmd13,,0.006694326411897414,Psmd13,,0.006694326411897414
11023,Nccrp1,,0.006721908221079178,Nccrp1,,0.006721908221079178
11024,Phpt1,,0.00673514026068595,Phpt1,,0.00673514026068595
11025,Ncoa1,,0.0067430782391154015,Ncoa1,,0.0067430782391154015
11026,Rgma,,0.006754982416091858,Rgma,,0.006754982416091858
11027,Zc4h2,,0.006780519243407198,Zc4h2,,0.006780519243407198
11028,Ppp1r3g,,0.006801905072662512,Ppp1r3g,,0.006801905072662512
11029,Tle6,,0.006799089305245501,Tle6,,0.006799089305245501
11030,Eepd1,,0.006804669812636436,Eepd1,,0.006804669812636436
11031,Col17a1,,0.00683795077173302,Col17a1,,0.00683795077173302
11032,Zfp874b,,0.00683795077173302,Zfp874b,,0.00683795077173302
11033,Mss51,,0.006853724674390909,Mss51,,0.006853724674390909
11034,B230317F23Rik,,0.006872106838317011,B230317F23Rik,,0.006872106838317011
11035,Srebf2,,0.006877974113409041,Srebf2,,0.006877974113409041
11036,Zfp84,,0.006905297668412729,Zfp84,,0.006905297668412729
11037,Nabp1,,0.0069064789896258185,Nabp1,,0.0069064789896258185
11038,Zfp433,,0.006917018447189094,Zfp433,,0.006917018447189094
11039,Hmg20a,,0.006960131338730758,Hmg20a,,0.006960131338730758
11040,Gm15853,,0.006987243330089936,Gm15853,,0.006987243330089936
11041,Timm44,,0.007008644850754958,Timm44,,0.007008644850754958
11042,Tekt2,,0.007017768869176006,Tekt2,,0.007017768869176006
11043,Ppil3,,0.007027999849368624,Ppil3,,0.007027999849368624
11044,Gm15492,,0.007051404641706159,Gm15492,,0.007051404641706159
11045,Ino80dos,,0.00709580852144859,Ino80dos,,0.00709580852144859
11046,Ubash3b,,0.0071010388462083495,Ubash3b,,0.0071010388462083495
11047,Pde7a,,0.007170337838208545,Pde7a,,0.007170337838208545
11048,Gm5611,,0.00721323956316388,Gm5611,,0.00721323956316388
11049,BC030343,,0.00721888967437323,BC030343,,0.00721888967437323
11050,Nbeal2,,0.0072221818011706865,Nbeal2,,0.0072221818011706865
11051,Smoc1,,0.007219782747408476,Smoc1,,0.007219782747408476
11052,Lmx1b,,0.007246442174651195,Lmx1b,,0.007246442174651195
11053,9330179D12Rik,,0.007283216038070086,9330179D12Rik,,0.007283216038070086
11054,Hspa1b,,0.007317206615388845,Hspa1b,,0.007317206615388845
11055,Thada,,0.007317206615388845,Thada,,0.007317206615388845
11056,Crem,,0.00732782925056764,Crem,,0.00732782925056764
11057,Pef1,,0.007398671455164053,Pef1,,0.007398671455164053
11058,Pnck,,0.007411708801966816,Pnck,,0.007411708801966816
11059,Rnf43,,0.007463506648488944,Rnf43,,0.007463506648488944
11060,Gm15706,,0.007459421039765119,Gm15706,,0.007459421039765119
11061,Rnf170,,0.007476487314440043,Rnf170,,0.007476487314440043
11062,Ttyh1,,0.007528256586435319,Ttyh1,,0.007528256586435319
11063,Zic2,,0.007527821693469936,Zic2,,0.007527821693469936
11064,Gpatch2,,0.0075566320035200816,Gpatch2,,0.0075566320035200816
11065,Acad9,,0.007587386127298484,Acad9,,0.007587386127298484
11066,Edc3,,0.007632990548682362,Edc3,,0.007632990548682362
11067,Matr3,,0.007636535593097062,Matr3,,0.007636535593097062
11068,Nphp4,,0.00764718203458698,Nphp4,,0.00764718203458698
11069,Gm10516,,0.00766434103288338,Gm10516,,0.00766434103288338
11070,Dynlt1c,,0.007680317617409008,Dynlt1c,,0.007680317617409008
11071,St3gal4,,0.007693341260092744,St3gal4,,0.007693341260092744
11072,A230065N10Rik,,0.007701701149182132,A230065N10Rik,,0.007701701149182132
11073,Kcnk6,,0.007719786857675506,Kcnk6,,0.007719786857675506
11074,Cabyr,,0.007760394380736727,Cabyr,,0.007760394380736727
11075,Rgs20,,0.007751841544188693,Rgs20,,0.007751841544188693
11076,Ppp1r18os,,0.0077579423713267925,Ppp1r18os,,0.0077579423713267925
11077,Pik3cb,,0.007774996185129746,Pik3cb,,0.007774996185129746
11078,RP24-143K11.1,,0.007819671218885925,RP24-143K11.1,,0.007819671218885925
11079,Fzd5,,0.007814518856444885,Fzd5,,0.007814518856444885
11080,Api5,,0.00786390453638949,Api5,,0.00786390453638949
11081,Neil1,,0.007878678441777181,Neil1,,0.007878678441777181
11082,D430042O09Rik,,0.007884753146601007,D430042O09Rik,,0.007884753146601007
11083,Fuk,,0.007923359012396079,Fuk,,0.007923359012396079
11084,Tctn3,,0.007934962841256688,Tctn3,,0.007934962841256688
11085,Phox2a,,0.007990748055376565,Phox2a,,0.007990748055376565
11086,Gm38399,,0.008012628160886815,Gm38399,,0.008012628160886815
11087,Klhl17,,0.008099228640717392,Klhl17,,0.008099228640717392
11088,RP24-330M21.1,,0.008122675489213837,RP24-330M21.1,,0.008122675489213837
11089,Ell,,0.008123970981193432,Ell,,0.008123970981193432
11090,Proser2,,0.008136952398508238,Proser2,,0.008136952398508238
11091,Gm28424,,0.008169269532903287,Gm28424,,0.008169269532903287
11092,Tap1,,0.00816153359633702,Tap1,,0.00816153359633702
11093,Gm42788,,0.00817826988360034,Gm42788,,0.00817826988360034
11094,Zfp719,,0.00818349375282567,Zfp719,,0.00818349375282567
11095,Mccc2,,0.008235107653277842,Mccc2,,0.008235107653277842
11096,Heatr1,,0.00826939221190876,Heatr1,,0.00826939221190876
11097,Abat,,0.008325113768602394,Abat,,0.008325113768602394
11098,5730455P16Rik,,0.008341302768016718,5730455P16Rik,,0.008341302768016718
11099,Zfp180,,0.008363699229478503,Zfp180,,0.008363699229478503
11100,Kcnq5,,0.008411898720262101,Kcnq5,,0.008411898720262101
11101,Glmn,,0.008425465210580518,Glmn,,0.008425465210580518
11102,Ttll9,,0.008505521489277967,Ttll9,,0.008505521489277967
11103,Ptch1,,0.008493928581181247,Ptch1,,0.008493928581181247
11104,Lamb3,,0.008540842172611833,Lamb3,,0.008540842172611833
11105,A830052D11Rik,,0.008533952246891822,A830052D11Rik,,0.008533952246891822
11106,Arhgap30,,0.0085345349637338,Arhgap30,,0.0085345349637338
11107,Gm4285,,0.008534040505995375,Gm4285,,0.008534040505995375
11108,Atp5s,,0.008538114511637855,Atp5s,,0.008538114511637855
11109,Gnpat,,0.008540842172611833,Gnpat,,0.008540842172611833
11110,Prkab1,,0.008544001818640316,Prkab1,,0.008544001818640316
11111,Nepro,,0.008613920536151764,Nepro,,0.008613920536151764
11112,Gm26808,,0.008648877253502642,Gm26808,,0.008648877253502642
11113,Map6d1,,0.008652346242218252,Map6d1,,0.008652346242218252
11114,R3hcc1l,,0.008648904580125695,R3hcc1l,,0.008648904580125695
11115,Dnaaf2,,0.008650995912191086,Dnaaf2,,0.008650995912191086
11116,Gm16299,,0.00868879363808747,Gm16299,,0.00868879363808747
11117,Gsta1,,0.008687078068366225,Gsta1,,0.008687078068366225
11118,D630003M21Rik,,0.008705074154813,D630003M21Rik,,0.008705074154813
11119,Zfp729a,,0.008705968621272908,Zfp729a,,0.008705968621272908
11120,Lgi3,,0.00872239288001557,Lgi3,,0.00872239288001557
11121,Myrf,,0.008747441544959213,Myrf,,0.008747441544959213
11122,Zfp341,,0.00877304003123699,Zfp341,,0.00877304003123699
11123,Mrm1,,0.008863173490645743,Mrm1,,0.008863173490645743
11124,Agbl2,,0.008908349067727498,Agbl2,,0.008908349067727498
11125,Srp19,,0.008910227159064565,Srp19,,0.008910227159064565
11126,Pithd1,,0.008925858510796638,Pithd1,,0.008925858510796638
11127,Rnf4,,0.008953723710004627,Rnf4,,0.008953723710004627
11128,Foxj1,,0.00899476833036129,Foxj1,,0.00899476833036129
11129,Alox5ap,,0.008970013223288711,Alox5ap,,0.008970013223288711
11130,Crnkl1,,0.00897265588680029,Crnkl1,,0.00897265588680029
11131,C2,,0.00897663868417357,C2,,0.00897663868417357
11132,Cutc,,0.00897663868417357,Cutc,,0.00897663868417357
11133,Ap5m1,,0.008991797963204266,Ap5m1,,0.008991797963204266
11134,Rnpc3,,0.009022875090627597,Rnpc3,,0.009022875090627597
11135,Gemin4,,0.009059572132325961,Gemin4,,0.009059572132325961
11136,Usp38,,0.009065937847426932,Usp38,,0.009065937847426932
11137,Slc37a4,,0.009114375038074713,Slc37a4,,0.009114375038074713
11138,Cartpt,,0.009162675428440039,Cartpt,,0.009162675428440039
11139,Stk35,,0.009192157553691113,Stk35,,0.009192157553691113
11140,Fam19a2,,0.009225038279063187,Fam19a2,,0.009225038279063187
11141,Adam30,,0.00923939471469812,Adam30,,0.00923939471469812
11142,Pacrgl,,0.00925778801768652,Pacrgl,,0.00925778801768652
11143,Myo7a,,0.009366963077065353,Myo7a,,0.009366963077065353
11144,2510017J16Rik,,0.009372476178253451,2510017J16Rik,,0.009372476178253451
11145,Fancb,,0.00939143956954952,Fancb,,0.00939143956954952
11146,Cyp4f16,,0.009399997884648681,Cyp4f16,,0.009399997884648681
11147,Col8a2,,0.009457600238186113,Col8a2,,0.009457600238186113
11148,Prkch,,0.009476844759106293,Prkch,,0.009476844759106293
11149,Dnm1l,,0.009494462826737963,Dnm1l,,0.009494462826737963
11150,Spock2,,0.009523422503497733,Spock2,,0.009523422503497733
11151,Reep2,,0.009516701987588798,Reep2,,0.009516701987588798
11152,Snx18,,0.009521852467346185,Snx18,,0.009521852467346185
11153,Clip4,,0.009522714597577494,Clip4,,0.009522714597577494
11154,Gad2,,0.009545233230522891,Gad2,,0.009545233230522891
11155,Odf1,,0.009639105461491151,Odf1,,0.009639105461491151
11156,Poc5,,0.009633700761168446,Poc5,,0.009633700761168446
11157,Zfp119a,,0.009641246702300184,Zfp119a,,0.009641246702300184
11158,Ppp1r3c,,0.009672942121771428,Ppp1r3c,,0.009672942121771428
11159,Podxl2,,0.009657623336629752,Podxl2,,0.009657623336629752
11160,Zfp445,,0.009692149582691422,Zfp445,,0.009692149582691422
11161,Tbcd,,0.009687404279557544,Tbcd,,0.009687404279557544
11162,Cep41,,0.009733981832750448,Cep41,,0.009733981832750448
11163,2700016F22Rik,,0.009755429723579827,2700016F22Rik,,0.009755429723579827
11164,Ufd1l,,0.009777466345970277,Ufd1l,,0.009777466345970277
11165,Mfsd7a,,0.00981208797097967,Mfsd7a,,0.00981208797097967
11166,Gm15743,,0.009823377573845613,Gm15743,,0.009823377573845613
11167,Gm10643,,0.009864231230050615,Gm10643,,0.009864231230050615
11168,Gtf2e1,,0.009926742845406008,Gtf2e1,,0.009926742845406008
11169,Csrnp2,,0.00996379869876263,Csrnp2,,0.00996379869876263
11170,Gm12666,,0.010008220381995154,Gm12666,,0.010008220381995154
11171,Iqcc,,0.009997049879972597,Iqcc,,0.009997049879972597
11172,Zfp954,,0.010008730236999558,Zfp954,,0.010008730236999558
11173,Tc2n,,0.010017540800485017,Tc2n,,0.010017540800485017
11174,Fance,,0.010019823918812745,Fance,,0.010019823918812745
11175,Prss12,,0.010031707464800916,Prss12,,0.010031707464800916
11176,2900089D17Rik,,0.010030559968216987,2900089D17Rik,,0.010030559968216987
11177,Rad51b,,0.010067055197401585,Rad51b,,0.010067055197401585
11178,Polr3d,,0.010042853019451133,Polr3d,,0.010042853019451133
11179,Zfp324,,0.010090466426130484,Zfp324,,0.010090466426130484
11180,Prx,,0.01009301836754771,Prx,,0.01009301836754771
11181,Cox19,,0.010161110564679207,Cox19,,0.010161110564679207
11182,BC002059,,0.010186376397362832,BC002059,,0.010186376397362832
11183,Med7,,0.010215848137047462,Med7,,0.010215848137047462
11184,Car7,,0.010228999809692134,Car7,,0.010228999809692134
11185,Abcc12,,0.01025930441436118,Abcc12,,0.01025930441436118
11186,Cpne1,,0.010257359190455548,Cpne1,,0.010257359190455548
11187,Pitx3,,0.010276110806783844,Pitx3,,0.010276110806783844
11188,B4galt5,,0.01025930441436118,B4galt5,,0.01025930441436118
11189,Cacnb4,,0.010276110806783844,Cacnb4,,0.010276110806783844
11190,Limk1,,0.01030426344881982,Limk1,,0.01030426344881982
11191,Dock8,,0.010338022570328344,Dock8,,0.010338022570328344
11192,Ctns,,0.010363062308259374,Ctns,,0.010363062308259374
11193,Ddx28,,0.010377554661950608,Ddx28,,0.010377554661950608
11194,Dhx57,,0.010377554661950608,Dhx57,,0.010377554661950608
11195,Arid2,,0.010377554661950608,Arid2,,0.010377554661950608
11196,Aph1a,,0.010392611295724096,Aph1a,,0.010392611295724096
11197,Gm12216,,0.010404693007591025,Gm12216,,0.010404693007591025
11198,Hspa1a,,0.010414350882145757,Hspa1a,,0.010414350882145757
11199,Mfsd7b,,0.010419285652402714,Mfsd7b,,0.010419285652402714
11200,Slamf1,,0.010433410388502092,Slamf1,,0.010433410388502092
11201,Klhl35,,0.01046360573908362,Klhl35,,0.01046360573908362
11202,Gm10260,,0.01045869793832733,Gm10260,,0.01045869793832733
11203,Hist2h2ac,,0.010493956410967736,Hist2h2ac,,0.010493956410967736
11204,Cklf,,0.010644048481222983,Cklf,,0.010644048481222983
11205,Gba,,0.010646075673073692,Gba,,0.010646075673073692
11206,Ap5b1,,0.010707204713106964,Ap5b1,,0.010707204713106964
11207,Abr,,0.010714163879384318,Abr,,0.010714163879384318
11208,N4bp2l2,,0.0107374552940347,N4bp2l2,,0.0107374552940347
11209,BC106179,,0.010763698241986055,BC106179,,0.010763698241986055
11210,Fam234a,,0.010763698241986055,Fam234a,,0.010763698241986055
11211,Zufsp,,0.010788038227271278,Zufsp,,0.010788038227271278
11212,Dhx29,,0.01079463354832344,Dhx29,,0.01079463354832344
11213,C1ql3,,0.01080265232880464,C1ql3,,0.01080265232880464
11214,Sertad3,,0.01080850930892508,Sertad3,,0.01080850930892508
11215,Cpt1a,,0.01081151300883142,Cpt1a,,0.01081151300883142
11216,Lsm14b,,0.01087211240819847,Lsm14b,,0.01087211240819847
11217,Rab3ip,,0.010906394832492769,Rab3ip,,0.010906394832492769
11218,B230217O12Rik,,0.010934391955803861,B230217O12Rik,,0.010934391955803861
11219,Asic1,,0.010987876903322931,Asic1,,0.010987876903322931
11220,Gimap6,,0.010987072895379884,Gimap6,,0.010987072895379884
11221,Tulp1,,0.011015398726654128,Tulp1,,0.011015398726654128
11222,Dlec1,,0.011081657304421197,Dlec1,,0.011081657304421197
11223,Myocd,,0.011106262196279007,Myocd,,0.011106262196279007
11224,Gal3st4,,0.011194350456964201,Gal3st4,,0.011194350456964201
11225,1700022N22Rik,,0.011245262972294631,1700022N22Rik,,0.011245262972294631
11226,Haus6,,0.011341847156056396,Haus6,,0.011341847156056396
11227,Tsc22d1,,0.011408373112894877,Tsc22d1,,0.011408373112894877
11228,Prorsd1,,0.01141509506153525,Prorsd1,,0.01141509506153525
11229,Atf1,,0.011447735911130444,Atf1,,0.011447735911130444
11230,Crmp1,,0.011468628558465477,Crmp1,,0.011468628558465477
11231,Mrgpre,,0.011500386848180857,Mrgpre,,0.011500386848180857
11232,Otx1,,0.011542788173320728,Otx1,,0.011542788173320728
11233,Ints6,,0.011541330579228664,Ints6,,0.011541330579228664
11234,Nebl,,0.011595284591366535,Nebl,,0.011595284591366535
11235,E030044B06Rik,,0.011643850130220835,E030044B06Rik,,0.011643850130220835
11236,Zfp955b,,0.011645671641158368,Zfp955b,,0.011645671641158368
11237,Rab40b,,0.0116403358492406,Rab40b,,0.0116403358492406
11238,Slc25a42,,0.011661414237217472,Slc25a42,,0.011661414237217472
11239,C1qtnf2,,0.011682122842063804,C1qtnf2,,0.011682122842063804
11240,9430002A10Rik,,0.011712731062810344,9430002A10Rik,,0.011712731062810344
11241,Akr1c12,,0.011731970581868995,Akr1c12,,0.011731970581868995
11242,6720427I07Rik,,0.011731970581868995,6720427I07Rik,,0.011731970581868995
11243,Phip,,0.011731970581868995,Phip,,0.011731970581868995
11244,Gm28535,,0.011807999298761446,Gm28535,,0.011807999298761446
11245,Katnal2,,0.01181043760410414,Katnal2,,0.01181043760410414
11246,Mdp1,,0.011844366126737046,Mdp1,,0.011844366126737046
11247,Farsa,,0.011879387861974523,Farsa,,0.011879387861974523
11248,Stam,,0.011905422403643659,Stam,,0.011905422403643659
11249,Cfi,,0.011946919847529203,Cfi,,0.011946919847529203
11250,4921504A21Rik,,0.011989370378458564,4921504A21Rik,,0.011989370378458564
11251,Ndufs3,,0.011994934701301991,Ndufs3,,0.011994934701301991
11252,Tbl2,,0.012005331060407427,Tbl2,,0.012005331060407427
11253,Wdr70,,0.012024204439983777,Wdr70,,0.012024204439983777
11254,Gm44210,,0.012065993384952083,Gm44210,,0.012065993384952083
11255,Nup88,,0.012049708834884546,Nup88,,0.012049708834884546
11256,Tceb1,,0.012078984947943643,Tceb1,,0.012078984947943643
11257,Snx27,,0.012081523133612364,Snx27,,0.012081523133612364
11258,Gm15640,,0.012086780243427936,Gm15640,,0.012086780243427936
11259,1700023F06Rik,,0.012103558799063392,1700023F06Rik,,0.012103558799063392
11260,Rad54l2,,0.012132182597689986,Rad54l2,,0.012132182597689986
11261,Zc3hav1l,,0.012210048624078469,Zc3hav1l,,0.012210048624078469
11262,Ensa,,0.012217704781997093,Ensa,,0.012217704781997093
11263,Zfp444,,0.012248546268162422,Zfp444,,0.012248546268162422
11264,Gsdmd,,0.012258993321976107,Gsdmd,,0.012258993321976107
11265,A230072E10Rik,,0.01227578592377806,A230072E10Rik,,0.01227578592377806
11266,2310015A10Rik,,0.012299684887779414,2310015A10Rik,,0.012299684887779414
11267,Gm29994,,0.01233016516017707,Gm29994,,0.01233016516017707
11268,H1fx,,0.012325397325409885,H1fx,,0.012325397325409885
11269,Lipo1,,0.012407116027920861,Lipo1,,0.012407116027920861
11270,Dyrk1a,,0.012421268115780745,Dyrk1a,,0.012421268115780745
11271,Zfp383,,0.012425723609277526,Zfp383,,0.012425723609277526
11272,Tacc1,,0.012470212137065435,Tacc1,,0.012470212137065435
11273,A230028O05Rik,,0.01250052839952052,A230028O05Rik,,0.01250052839952052
11274,Dip2b,,0.0125197440630326,Dip2b,,0.0125197440630326
11275,Abcb6,,0.012566661596039712,Abcb6,,0.012566661596039712
11276,Zmynd12,,0.012597896628059192,Zmynd12,,0.012597896628059192
11277,Tomm6os,,0.012600799315473995,Tomm6os,,0.012600799315473995
11278,Scml4,,0.012684124541314987,Scml4,,0.012684124541314987
11279,Ppp1r9a,,0.012725022591504586,Ppp1r9a,,0.012725022591504586
11280,Slc35b1,,0.01274822270432167,Slc35b1,,0.01274822270432167
11281,Kcne1,,0.012894365395374299,Kcne1,,0.012894365395374299
11282,Rabif,,0.012879880599486594,Rabif,,0.012879880599486594
11283,Efcab8,,0.012956089138266737,Efcab8,,0.012956089138266737
11284,Snx22,,0.012991999541145476,Snx22,,0.012991999541145476
11285,Ccdc85a,,0.013010298609456935,Ccdc85a,,0.013010298609456935
11286,Jmy,,0.013008111749532045,Jmy,,0.013008111749532045
11287,Gpr4,,0.013044813318214468,Gpr4,,0.013044813318214468
11288,2610301B20Rik,,0.013066701185098653,2610301B20Rik,,0.013066701185098653
11289,Tmlhe,,0.013083102236930953,Tmlhe,,0.013083102236930953
11290,Appl1,,0.013080291364944149,Appl1,,0.013080291364944149
11291,Catsper2,,0.013130492117569384,Catsper2,,0.013130492117569384
11292,CAAA01147332.1,,0.013130492117569384,CAAA01147332.1,,0.013130492117569384
11293,Prl8a9,,0.013159865853110792,Prl8a9,,0.013159865853110792
11294,Zbtb3,,0.013180477138896023,Zbtb3,,0.013180477138896023
11295,Stard8,,0.0132394540896307,Stard8,,0.0132394540896307
11296,Gm13404,,0.013286084141994592,Gm13404,,0.013286084141994592
11297,Scaf11,,0.01328201888881424,Scaf11,,0.01328201888881424
11298,Ptbp1,,0.013367729892067486,Ptbp1,,0.013367729892067486
11299,Ninj2,,0.013418512730876363,Ninj2,,0.013418512730876363
11300,Sfpq,,0.013408636546553977,Sfpq,,0.013408636546553977
11301,Ppp2r2a,,0.013423376869170108,Ppp2r2a,,0.013423376869170108
11302,E430025E21Rik,,0.013472068828624851,E430025E21Rik,,0.013472068828624851
11303,1700013F07Rik,,0.013502704873165381,1700013F07Rik,,0.013502704873165381
11304,Fscn2,,0.013489446199023548,Fscn2,,0.013489446199023548
11305,Arhgap12,,0.01349852923062455,Arhgap12,,0.01349852923062455
11306,Tmem194,,0.013505478537481984,Tmem194,,0.013505478537481984
11307,Cldn20,,0.013579652852120172,Cldn20,,0.013579652852120172
11308,Ttf2,,0.013562351665011543,Ttf2,,0.013562351665011543
11309,Frmd5,,0.013580207168741561,Frmd5,,0.013580207168741561
11310,Gmcl1,,0.013612903005048905,Gmcl1,,0.013612903005048905
11311,Aoc3,,0.01362585620885729,Aoc3,,0.01362585620885729
11312,Uaca,,0.013679505403447681,Uaca,,0.013679505403447681
11313,Chm,,0.013721900495029181,Chm,,0.013721900495029181
11314,Cox18,,0.013800032595716268,Cox18,,0.013800032595716268
11315,Rprml,,0.013837608072259915,Rprml,,0.013837608072259915
11316,Hist1h4a,,0.013848023704445196,Hist1h4a,,0.013848023704445196
11317,Rnf169,,0.013927581744661932,Rnf169,,0.013927581744661932
11318,Arhgef6,,0.013989543006087136,Arhgef6,,0.013989543006087136
