,D0_n,D0_l,D0_p,iPSCs_n,iPSCs_l,iPSCs_p
3068,Dnaja4,,1.9741242720339453e-57,Dnaja4,,1.9741242720339453e-57
3069,Tcf25,,8.265303565959242e-58,Tcf25,,8.265303565959242e-58
3070,Hspd1,,8.981875887600952e-58,Hspd1,,8.981875887600952e-58
3071,Mrpl13,,1.0037282297951203e-57,Mrpl13,,1.0037282297951203e-57
3072,Dcstamp,,2.3849828646551473e-56,Dcstamp,,2.3849828646551473e-56
3073,Mrpl22,,1.1947273667639737e-57,Mrpl22,,1.1947273667639737e-57
3074,Ppa1,,1.2113694830141924e-57,Ppa1,,1.2113694830141924e-57
3075,Erbb2,,2.1663557963413398e-57,Erbb2,,2.1663557963413398e-57
3076,Parp8,,3.2733335651070955e-57,Parp8,,3.2733335651070955e-57
3077,Elk4,,2.254523556181747e-57,Elk4,,2.254523556181747e-57
3078,St3gal5,,1.6158808062795254e-57,St3gal5,,1.6158808062795254e-57
3079,Pianp,,3.5739640194219214e-56,Pianp,,3.5739640194219214e-56
3080,Colec12,,1.5998424661731046e-57,Colec12,,1.5998424661731046e-57
3081,Dennd2c,,2.2180577228024197e-56,Dennd2c,,2.2180577228024197e-56
3082,Plekhh1,,2.171372090733807e-56,Plekhh1,,2.171372090733807e-56
3083,Drg1,,1.9329381346392102e-57,Drg1,,1.9329381346392102e-57
3084,Dlx2,,6.763487181393816e-57,Dlx2,,6.763487181393816e-57
3085,Tnrc6c,,3.7540732524180255e-57,Tnrc6c,,3.7540732524180255e-57
3086,Pim3,,3.6594637431268945e-57,Pim3,,3.6594637431268945e-57
3087,Mak16,,2.9157260132767805e-57,Mak16,,2.9157260132767805e-57
3088,Vopp1,,3.4899710598650366e-57,Vopp1,,3.4899710598650366e-57
3089,Dtx3,,3.057804757938625e-57,Dtx3,,3.057804757938625e-57
3090,Ppp2r4,,2.5232013986580737e-57,Ppp2r4,,2.5232013986580737e-57
3091,St3gal1,,6.133291196689806e-57,St3gal1,,6.133291196689806e-57
3092,Tmco3,,4.415296284148321e-57,Tmco3,,4.415296284148321e-57
3093,Ofd1,,7.614630299174012e-57,Ofd1,,7.614630299174012e-57
3094,0610012G03Rik,,3.321362392359024e-57,0610012G03Rik,,3.321362392359024e-57
3095,Rasa3,,4.6462753845404036e-57,Rasa3,,4.6462753845404036e-57
3096,Hacd4,,5.277805729843278e-57,Hacd4,,5.277805729843278e-57
3097,5033430I15Rik,,1.07040533599095e-56,5033430I15Rik,,1.07040533599095e-56
3098,Atp5l,,3.8243385490751563e-57,Atp5l,,3.8243385490751563e-57
3099,Abcg2,,4.122505110128062e-57,Abcg2,,4.122505110128062e-57
3100,Plpp1,,3.903103080453318e-57,Plpp1,,3.903103080453318e-57
3101,Osbpl1a,,8.706731044014247e-57,Osbpl1a,,8.706731044014247e-57
3102,Kng2,,5.538618227786775e-56,Kng2,,5.538618227786775e-56
3103,Pole,,8.991304793350647e-57,Pole,,8.991304793350647e-57
3104,Xrcc6bp1,,8.690712758735932e-57,Xrcc6bp1,,8.690712758735932e-57
3105,Gltscr1l,,2.5944573609944825e-56,Gltscr1l,,2.5944573609944825e-56
3106,Exoc3l4,,8.315560429888397e-57,Exoc3l4,,8.315560429888397e-57
3107,Tgif1,,6.045128985710991e-57,Tgif1,,6.045128985710991e-57
3108,Hoxb6,,1.4502118675534207e-56,Hoxb6,,1.4502118675534207e-56
3109,Alkbh3,,5.546740878794379e-57,Alkbh3,,5.546740878794379e-57
3110,Tbcb,,5.739568539715605e-57,Tbcb,,5.739568539715605e-57
3111,Rnf7,,6.208468183446223e-57,Rnf7,,6.208468183446223e-57
3112,Ifitm3,,1.0059981101670644e-56,Ifitm3,,1.0059981101670644e-56
3113,Zfp459,,1.2984239730835199e-55,Zfp459,,1.2984239730835199e-55
3114,Fam102a,,6.048814925971284e-56,Fam102a,,6.048814925971284e-56
3115,Fut9,,1.7235006910935687e-55,Fut9,,1.7235006910935687e-55
3116,Birc7,,1.930498847556899e-55,Birc7,,1.930498847556899e-55
3117,M6pr,,8.493539534468277e-57,M6pr,,8.493539534468277e-57
3118,Ddx27,,1.1364326875801415e-56,Ddx27,,1.1364326875801415e-56
3119,Txnl1,,1.0785999999545418e-56,Txnl1,,1.0785999999545418e-56
3120,Trappc6b,,1.129363184290659e-56,Trappc6b,,1.129363184290659e-56
3121,Slc16a11,,5.0259232543504875e-56,Slc16a11,,5.0259232543504875e-56
3122,Stard3nl,,1.3010815054229847e-56,Stard3nl,,1.3010815054229847e-56
3123,Rbm34,,1.937514183199828e-56,Rbm34,,1.937514183199828e-56
3124,Vamp2,,1.449992188177036e-56,Vamp2,,1.449992188177036e-56
3125,Psmd1,,1.7072178310169856e-56,Psmd1,,1.7072178310169856e-56
3126,Dzip1l,,3.9267509533167764e-56,Dzip1l,,3.9267509533167764e-56
3127,Vnn1,,2.6494046661186383e-55,Vnn1,,2.6494046661186383e-55
3128,Arl5a,,1.8727254312803098e-56,Arl5a,,1.8727254312803098e-56
3129,Timm17a,,1.9392265212033623e-56,Timm17a,,1.9392265212033623e-56
